Type                                  Module                      Label             Process   
vector<reco::GsfElectronCore>         "ecalDrivenGsfElectronCoresFromMultiCl"   ""                "RECO"    
vector<reco::GsfPFRecTrack>           "pfTrackElec"               ""                "RECO"    
vector<reco::GsfPFRecTrack>           "pfTrackElec"               "Secondary"       "RECO"    
vector<reco::GsfTrack>                "electronGsfTracksFromMultiCl"   ""                "RECO"    
vector<reco::GsfTrackExtra>           "electronGsfTracksFromMultiCl"   ""                "RECO"    
vector<reco::PFCluster>               "particleFlowClusterECAL"   ""                "RECO"    
vector<reco::PFCluster>               "particleFlowClusterHGCalFromMultiCl"   ""                "RECO"    
vector<reco::PFRecHit>                "particleFlowRecHitHGC"     ""                "RECO"    
vector<reco::PFRecHit>                "particleFlowRecHitHGC"     "Cleaned"         "RECO"    
vector<reco::Photon>                  "photonsFromMultiCl"        ""                "RECO"    
vector<reco::PhotonCore>              "photonCoreFromMultiCl"     ""                "RECO"    
vector<reco::PreId>                   "trackerDrivenElectronSeeds"   "preid"           "RECO"    
vector<reco::SuperCluster>            "particleFlowSuperClusterHGCalFromMultiCl"   ""                "RECO"    
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALBarrel"   "RECO"    
vector<reco::SuperCluster>            "particleFlowSuperClusterHGCalFromMultiCl"   "particleFlowSuperClusterECALBarrel"   "RECO"    
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALEndcapWithPreshower"   "RECO"    
vector<reco::Track>                   "generalTracks"             ""                "RECO"    
vector<reco::TrackExtra>              "electronGsfTracksFromMultiCl"   ""                "RECO"    
vector<reco::TrackExtra>              "generalTracks"             ""                "RECO"    
vector<reco::Vertex>                  "offlinePrimaryVertices"    ""                "RECO"    
vector<pair<unsigned long,edm::Ptr<reco::PFCluster> > >    "particleFlowClusterECAL"   ""                "RECO"    
vector<unsigned char>                 "generalTracks"             "QualityMasks"    "RECO"    
